ref_date,geo,noc_desc,job_char,predicted_vacancies
2023-01-01,New Brunswick,"Occupations in education, law and social, community and government services",Part-time,3494.822
2023-01-01,New Brunswick,Sales and service occupations,"Type of work, all types",3494.822
2023-01-01,New Brunswick,Sales and service occupations,Full-time,3494.822
2023-01-01,New Brunswick,Sales and service occupations,Part-time,3494.822
2023-01-01,New Brunswick,"Trades, transport and equipment operators and related occupations","Type of work, all types",3494.822
2023-01-01,New Brunswick,"Trades, transport and equipment operators and related occupations",Full-time,3494.822
2023-01-01,New Brunswick,Occupations in manufacturing and utilities,"Type of work, all types",3494.822
2023-01-01,New Brunswick,Occupations in manufacturing and utilities,Full-time,3494.822
2023-01-01,Quebec,"Total, all occupations","Type of work, all types",3494.822
2023-01-01,Quebec,"Total, all occupations",Full-time,3494.822
2023-01-01,Quebec,"Total, all occupations",Part-time,3494.822
2023-01-01,Quebec,"Business, finance and administration occupations","Type of work, all types",3494.822
2023-01-01,Quebec,"Business, finance and administration occupations",Full-time,3494.822
2023-01-01,Quebec,"Business, finance and administration occupations",Part-time,3494.822
2023-01-01,Quebec,Natural and applied sciences and related occupations,"Type of work, all types",3494.822
2023-01-01,Quebec,Natural and applied sciences and related occupations,Full-time,3494.822
2023-01-01,Quebec,Natural and applied sciences and related occupations,Part-time,3494.822
2023-01-01,Quebec,Health occupations,"Type of work, all types",3494.822
2023-01-01,Quebec,Health occupations,Full-time,3494.822
2023-01-01,Quebec,Health occupations,Part-time,3494.822
2023-01-01,Quebec,"Occupations in education, law and social, community and government services","Type of work, all types",3494.822
2023-01-01,Quebec,"Occupations in education, law and social, community and government services",Full-time,3494.822
2023-01-01,Quebec,"Occupations in education, law and social, community and government services",Part-time,3494.822
2023-01-01,Quebec,"Occupations in art, culture, recreation and sport","Type of work, all types",3494.822
2023-01-01,Quebec,"Occupations in art, culture, recreation and sport",Full-time,3494.822
2023-01-01,Quebec,"Occupations in art, culture, recreation and sport",Part-time,3494.822
2023-01-01,Quebec,Sales and service occupations,"Type of work, all types",3494.822
2023-01-01,Quebec,Sales and service occupations,Full-time,3494.822
2023-01-01,Quebec,Sales and service occupations,Part-time,3494.822
2023-01-01,Quebec,"Trades, transport and equipment operators and related occupations","Type of work, all types",3494.822
2023-01-01,Quebec,"Trades, transport and equipment operators and related occupations",Full-time,3494.822
2023-01-01,Quebec,"Trades, transport and equipment operators and related occupations",Part-time,3494.822
2023-01-01,Quebec,"Natural resources, agriculture and related production occupations","Type of work, all types",3494.822
2023-01-01,Quebec,"Natural resources, agriculture and related production occupations",Full-time,3494.822
2023-01-01,Quebec,Occupations in manufacturing and utilities,"Type of work, all types",3494.822
2023-01-01,Quebec,Occupations in manufacturing and utilities,Full-time,3494.822
2023-01-01,Quebec,Occupations in manufacturing and utilities,Part-time,3494.822
2023-01-01,Ontario,"Total, all occupations","Type of work, all types",3494.822
2023-01-01,Ontario,"Total, all occupations",Full-time,3494.822
2023-01-01,Ontario,"Total, all occupations",Part-time,3494.822
