ref_date,geo,noc_desc,job_char,predicted_vacancies
2023-01-01,Ontario,Occupations in manufacturing and utilities,Full-time,5358.302
2023-01-01,Ontario,Occupations in manufacturing and utilities,Part-time,5343.9307
2023-01-01,Manitoba,"Business, finance and administration occupations",Full-time,5262.8745
2023-01-01,Manitoba,"Business, finance and administration occupations",Part-time,5442.7915
2023-01-01,Manitoba,Natural and applied sciences and related occupations,Full-time,5375.694
2023-01-01,Manitoba,Health occupations,Full-time,5360.947
2023-01-01,Manitoba,Health occupations,Part-time,5272.4497
2023-01-01,Manitoba,"Occupations in education, law and social, community and government services",Full-time,5219.917
2023-01-01,Manitoba,"Occupations in education, law and social, community and government services",Part-time,5168.3813
2023-01-01,Manitoba,"Occupations in art, culture, recreation and sport",Full-time,5155.2993
2023-01-01,Manitoba,"Occupations in art, culture, recreation and sport",Part-time,
2023-01-01,Manitoba,Sales and service occupations,Full-time,4928.3804
2023-01-01,Manitoba,Sales and service occupations,Part-time,4881.8604
2023-01-01,Manitoba,"Trades, transport and equipment operators and related occupations",Full-time,4860.794
2023-01-01,Manitoba,"Trades, transport and equipment operators and related occupations",Part-time,4747.664
2023-01-01,Manitoba,"Natural resources, agriculture and related production occupations",Full-time,4988.9673
2023-01-01,Manitoba,Occupations in manufacturing and utilities,Full-time,4948.4487
2023-01-01,Saskatchewan,"Business, finance and administration occupations",Full-time,4926.688
2023-01-01,Saskatchewan,"Business, finance and administration occupations",Part-time,4798.4224
2023-01-01,Saskatchewan,Natural and applied sciences and related occupations,Full-time,3902.4062
2023-01-01,Saskatchewan,Health occupations,Full-time,3829.159
2023-01-01,Saskatchewan,Health occupations,Part-time,3777.9856
2023-01-01,Saskatchewan,"Occupations in education, law and social, community and government services",Full-time,
2023-01-01,Saskatchewan,"Occupations in education, law and social, community and government services",Part-time,4366.8755
2023-01-01,Saskatchewan,"Occupations in art, culture, recreation and sport",Full-time,4489.4014
2023-01-01,Saskatchewan,"Occupations in art, culture, recreation and sport",Part-time,4319.0303
2023-01-01,Saskatchewan,Sales and service occupations,Full-time,
2023-01-01,Saskatchewan,Sales and service occupations,Part-time,560.74536
2023-01-01,Saskatchewan,"Trades, transport and equipment operators and related occupations",Full-time,526.5641
2023-01-01,Saskatchewan,"Trades, transport and equipment operators and related occupations",Part-time,526.80695
2023-01-01,Saskatchewan,"Natural resources, agriculture and related production occupations",Full-time,540.0001
2023-01-01,Saskatchewan,Occupations in manufacturing and utilities,Full-time,566.1744
2023-01-01,Alberta,"Business, finance and administration occupations",Full-time,549.3846
2023-01-01,Alberta,"Business, finance and administration occupations",Part-time,543.929
2023-01-01,Alberta,Natural and applied sciences and related occupations,Full-time,
2023-01-01,Alberta,Health occupations,Full-time,466.73898
2023-01-01,Alberta,Health occupations,Part-time,464.0747
2023-01-01,Alberta,"Occupations in education, law and social, community and government services",Full-time,464.25104
2023-01-01,Alberta,"Occupations in education, law and social, community and government services",Part-time,465.62955
2023-01-01,Alberta,"Occupations in art, culture, recreation and sport",Full-time,427.82532
2023-01-01,Alberta,"Occupations in art, culture, recreation and sport",Part-time,415.15863
2023-01-01,Alberta,Sales and service occupations,Full-time,412.61404
2023-01-01,Alberta,Sales and service occupations,Part-time,400.52826
2023-01-01,Alberta,"Trades, transport and equipment operators and related occupations",Full-time,451.4126
2023-01-01,Alberta,"Trades, transport and equipment operators and related occupations",Part-time,456.2632
2023-01-01,Alberta,"Natural resources, agriculture and related production occupations",Full-time,449.0283
2023-01-01,Alberta,Occupations in manufacturing and utilities,Full-time,
2023-01-01,British Columbia,Legislative and senior management occupations,Full-time,553.7293
2023-01-01,British Columbia,"Business, finance and administration occupations",Full-time,509.70612
2023-01-01,British Columbia,"Business, finance and administration occupations",Part-time,518.7662
2023-01-01,British Columbia,Natural and applied sciences and related occupations,Full-time,534.0357
2023-01-01,British Columbia,Health occupations,Full-time,566.1354
2023-01-01,British Columbia,Health occupations,Part-time,549.07684
2023-01-01,British Columbia,"Occupations in education, law and social, community and government services",Full-time,543.59015
2023-01-01,British Columbia,"Occupations in education, law and social, community and government services",Part-time,
2023-01-01,British Columbia,"Occupations in art, culture, recreation and sport",Full-time,511.49362
2023-01-01,British Columbia,"Occupations in art, culture, recreation and sport",Part-time,495.43216
2023-01-01,British Columbia,Sales and service occupations,Full-time,498.18417
2023-01-01,British Columbia,Sales and service occupations,Part-time,501.94046
2023-01-01,British Columbia,"Trades, transport and equipment operators and related occupations",Full-time,565.47394
2023-01-01,British Columbia,"Trades, transport and equipment operators and related occupations",Part-time,568.3918
2023-01-01,British Columbia,"Natural resources, agriculture and related production occupations",Full-time,567.65686
2023-01-01,British Columbia,Occupations in manufacturing and utilities,Full-time,571.98645
2023-01-01,Yukon,"Business, finance and administration occupations",Full-time,516.512
2023-01-01,Yukon,Natural and applied sciences and related occupations,Part-time,514.78705
2023-01-01,Yukon,"Trades, transport and equipment operators and related occupations",Full-time,525.6969
2023-01-01,Northwest Territories,"Business, finance and administration occupations",Full-time,
2023-01-01,Nunavut,"Business, finance and administration occupations",Full-time,530.72046
2023-01-01,Nunavut,Sales and service occupations,Full-time,500.78894
2023-01-01,Nunavut,"Trades, transport and equipment operators and related occupations",Full-time,500.01138
2023-01-04,Newfoundland and Labrador,"Business, finance and administration occupations",Full-time,505.47992
2023-01-04,Newfoundland and Labrador,"Business, finance and administration occupations",Part-time,579.902
2023-01-04,Newfoundland and Labrador,Natural and applied sciences and related occupations,Full-time,576.1175
2023-01-04,Newfoundland and Labrador,Health occupations,Full-time,572.72925
2023-01-04,Newfoundland and Labrador,Health occupations,Part-time,571.08636
2023-01-04,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Full-time,511.54523
2023-01-04,Newfoundland and Labrador,"Occupations in education, law and social, community and government services",Part-time,505.828
2023-01-04,Newfoundland and Labrador,"Occupations in art, culture, recreation and sport",Full-time,505.56107
2023-01-04,Newfoundland and Labrador,"Occupations in art, culture, recreation and sport",Part-time,
2023-01-04,Newfoundland and Labrador,Sales and service occupations,Full-time,549.7426
2023-01-04,Newfoundland and Labrador,Sales and service occupations,Part-time,552.6707
2023-01-04,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",Full-time,553.5483
2023-01-04,Newfoundland and Labrador,"Trades, transport and equipment operators and related occupations",Part-time,556.1392
